Pacman: 23 || Ghost: 10 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 11 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 12 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 13 || Pacman rate: 32.0 || Ghost rate: 68.0
Pacman: 23 || Ghost: 14 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 15 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 16 || Pacman rate: 100.0 || Ghost rate: 0.0
Pacman: 23 || Ghost: 17 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 18 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 19 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 21 || Pacman rate: 60.0 || Ghost rate: 40.0
Pacman: 23 || Ghost: 23 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 24 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
Pacman: 23120049 || Ghost: 25 || Pacman rate: 0.0 || Ghost rate: 100.0
